APOGEE_ID RA DEC VHELIO_AVG FE_H z_height rgc C_FE N_FE O_FE MG_FE SI_FE S_FE CA_FE TI_FE NA_FE AL_FE K_FE V_FE MN_FE NI_FE
2M00020976+1601393 0.540704 16.027588 -101.18599700927734 -1.7384761770372417 8.214996603460902 15.497078206366087 -0.4958876253171236 0.43446148007654317 0.3214542406429497 0.05133757040765641 0.3561945630702874 0.3790796294532617 0.1083790595806231 0.002690693917462905 0.17975666621101904 -0.27466624065456413 -0.30449920925717455 -0.4756832215681328 -0.14642480538593317 -0.13021698981979446
2M00433772+1828599 10.907174 18.483307 -62.76530075073242 -1.528064977714397 10.445262381647971 19.539022579594405 -0.270187179322785 0.35078954276041374 0.35845805335600756 0.12270555260968141 0.3717356783840815 0.47393643124164186 0.13340189167213068 0.05551366435479932 0.15597259362920446 -0.14730722232038218 -0.23622963077109782 -0.47238968494478595 -0.10065151100330749 -0.09266757722667607
2M01230680+1644467 20.778356 16.746332 60.647701263427734 -1.7122064960065921 3.224050994794329 11.215616760334198 0.1837935012504368 0.19529244133047663 0.33389416070940303 0.34768851624647557 0.2971477227726613 0.519020171559252 0.2876552675311961 0.10340798263725559 0.04416700572912036 -0.20742932710200712 0.15416118667918322 -0.3615967755272902 -0.08346698776964723 0.010355991667625464
2M02042304+1444575 31.096021 14.749311 -173.3159942626953 -1.5291103988694357 3.9018246931741145 12.478025284807101 -0.24910721964852356 0.3035360279404671 0.29050595203006546 0.1454788903121551 0.3168392562999074 0.43321924878986673 0.15303856257719106 0.0023342667271404327 0.17105733195673523 -0.17440217193110263 -0.038250475253343685 -0.40040360843946265 -0.12640262156158433 -0.09350640520059983
2M02053461+1458240 31.394228 14.973339 48.570701599121094 -1.769968214040013 8.862816392235056 18.94891464032154 -0.0993336162681262 0.44814414600231345 0.28469633609312206 0.16108372527565384 0.260069169445154 0.41732168847922724 0.20737810728095196 0.10817184380299683 -0.009515801258019874 -0.21369457507587852 -0.009424684069354594 -0.5257706814621284 -0.22699802826142168 -0.056220256147978986
2M03114928+3951106 47.955337 39.852966 -197.2830047607422 -1.721818288670127 3.1872369134573573 19.42693367695006 -0.18966579126311012 0.34240905818848844 0.3310652861560417 0.21741424101986007 0.34039347249533747 0.47693306976225913 0.1290349074207322 0.09152240331525219 0.4395285182958306 -0.15507166326564814 -0.0008672477616207264 -0.4726892399170828 -0.1115099096444947 -0.08586715998503136
2M03174034+0221444 49.418124 2.362338 66.33429718017578 -1.5164703127749357 3.680183408610488 12.6489396775278 0.047619075485086926 0.038255632875848766 0.3137724665638746 0.22678193720910733 0.32776348666386634 0.4695925775772305 0.16862182503326406 0.013426899948929538 0.3652955567153089 -0.1297650758830997 0.2739284513924618 -0.331679024597513 -0.10537030753713661 -0.04200493982337061
2M07324839+2133141 113.201654 21.553938 193.6840057373047 -1.6322624938510055 6.672669821256039 28.832115104824663 -0.19585617618705675 0.274634178400188 0.3223505477768043 0.1734609267900984 0.35720678194461475 0.5458982720320493 0.2047428302723191 0.11370995099939263 0.2782654655458372 -0.2200221014409709 0.12274849274028754 -0.41115412390761175 -0.1687253876457664 -0.1054307023454506
2M07365596+2220125 114.233174 22.336811 190.1820068359375 -1.6050118317927835 3.7320942477040546 18.936927946049238 -0.3206474996308646 0.3285899499920646 0.2918392934731171 0.056099446199709746 0.33542430554989067 0.44809065145126037 0.1702416487973628 -0.052126938802792955 0.0004743739917780765 -0.176781296442162 -0.055036780419649434 -0.2168982130199868 -0.1151965262297463 -0.09805663314867918
2M07380336+2007468 114.51404 20.129667 170.97999572753906 -1.83451257195487 3.4872372193623566 18.490665275699396 -0.19508714285463902 0.20513522846470456 0.28716637352844976 0.15257274369077622 0.2820342284978963 0.49058394206106914 0.18903075723939078 0.07702520984058725 0.19102028369821733 -0.33417447218163 0.09101961729684471 -0.30835312601194853 -0.08920949402252165 -0.10823734724862288
2M07421976+3610139 115.582346 36.170528 169.36399841308594 -1.8317972310464246 7.878478519491667 26.171178546622958 -0.23672962050133206 0.4026015643747305 0.32689266768658465 0.09366223652830863 0.33026972529498755 0.49128440423541675 0.20223554191175208 0.024995242311664168 0.09359210777969351 -0.20491646229013982 0.004425505663938845 -0.3046421355382498 -0.11542016108090158 -0.08270926178842108
2M07424958+6639354 115.706608 66.659836 -151.31399536132812 -1.6505399569654806 4.369828536467362 15.972728402845094 -0.15106845279697878 0.3043992159740512 0.3446300630679848 0.21935699816126975 0.34470590199679885 0.5008402710110051 0.15005621977031636 0.10824912759573824 0.4582320951051744 -0.15641546820782914 0.03011456619747732 -0.4613137403847307 -0.12040719239169473 -0.07088614601866272
2M07432263+6503556 115.8443 65.065468 -188.13600158691406 -1.73541044127193 3.6968248141459252 14.75606090469798 -0.3292394467601807 0.39146548120792346 0.28378390993124336 0.14333698415913299 0.2802816195571929 0.43377187551827157 0.07733561379534493 0.08868892710299936 0.2554846936912851 -0.23535037587389485 -0.1265121283339552 -0.3686278357456505 -0.06386908011317005 -0.13672316088136438
2M07515063+5159005 117.960995 51.983498 -13.133600234985352 -1.6667500181202346 3.6362625525117838 14.913145479073153 -0.1854015857772684 0.41385354995340107 0.36252904175635803 0.17299120739381868 0.3274596558209639 0.39885757901888264 0.14153992818163919 0.1129785631888347 0.8903981343887629 -0.17554482393414061 -0.1543292423188276 -0.2806063649200561 -0.03395348937967646 -0.12326397950945944
2M08042828+4033217 121.117864 40.556042 223.33399963378906 -1.6817669006386893 3.194391152439971 14.07880813027775 -0.15754320693133428 0.20044451830753318 0.3226084820986743 0.14877355232848277 0.326617536396657 0.4734689983907634 0.18566452572395487 0.04187610032600109 -0.010699684915395302 -0.2211678650451394 0.020204140225385414 -0.292843286610345 -0.1003292007219021 -0.06174082293345462
2M08051207+3902437 121.30031 39.045498 90.98889923095703 -1.5812499471914017 7.737658811578105 22.842125433993594 -0.06029988063864411 0.2798971272470441 0.36889782266538274 0.19864968076455636 0.4422849343457409 0.5893034814416654 0.19435406305383762 0.08920863555291314 -0.12288402414417687 -0.05967088228987438 0.03299140840809622 -0.5936182930649372 -0.16587450028662531 -0.12183266933986525
2M08091912+7836416 122.329669 78.61158 -178.79299926757812 -1.6990936849920009 4.387435002264265 15.253908645849293 -0.011868418022058957 0.28238144016841393 0.3386215115843938 0.2965296928790404 0.3506316146512072 0.4779543885065378 0.13783268124589054 0.06189235728386011 0.6586311581134479 -0.1890430237852947 0.08366171456021765 -0.38543405232956784 -0.1048276788977971 -0.04491678212755157
2M08120278+3053408 123.011588 30.894693 -26.150699615478516 -1.5064546379374402 23.054208212295176 53.60722845921848 -0.6025757772126654 0.5043303384276261 0.2793120072061246 -0.000942176031183406 0.31487030587387155 0.3503277623290364 0.03402512858866724 0.03261209071856985 -0.4262461149712389 -0.02067026100256486 -0.4420579951483947 0.008175294268662148 -0.08251901228473968 -0.18538601614029648
2M08141517+2750377 123.56324 27.843822 176.5019989013672 -1.572409047862254 4.013953622037977 15.810962825448634 -0.18115574572022863 0.18010839052880523 0.31908705856459774 0.15357330284323312 0.34630738656449367 0.47442070686933224 0.18291868064598438 0.04219768575421923 0.08112416258090138 -0.18640837709196112 0.06346071393330144 -0.2815404203073557 -0.10009956755873772 -0.07952953884552483
2M08351721+1545353 128.821749 15.759814 143.72900390625 -1.6349762899070215 4.41248458537208 16.054356618164498 -0.09343755135387344 0.20233792603580292 0.33109616452170854 0.19135862079022403 0.3328920938913065 0.524314460922902 0.1774829430546101 0.07677673748987646 0.10264858848089498 -0.16053436087738748 0.12521309377519252 -0.26988108843329006 -0.10763849615533627 -0.08191811649635339
2M08380293+1538052 129.512229 15.634796 104.14800262451172 -1.7028586889385295 9.61862359659196 25.74863168468319 -0.3253435380226979 0.29922102683812035 0.2913185260956275 -0.026133854834866854 0.3616587813103873 0.4483430066679861 0.1678942046306251 0.04042841625646609 0.4700436210133605 -0.2600814498569166 0.2243902350025495 -0.24536411380781065 -0.10802157891505493 0.0020660135176140404
2M09003831+0324171 135.159648 3.404774 19.138099670410156 -1.829251726564104 4.084893849562406 14.726393661996433 -0.23593217275785539 0.4108644350373103 0.32048027459856354 0.14174711011505736 0.34710380737602997 0.4538888765721567 0.12743819928667244 0.06869970686615479 0.6780455705373682 -0.25988454549335294 -0.018522015523640745 -0.49410755304671805 -0.07392652207881634 -0.10580574231714879
2M09243485+2751275 141.145234 27.857656 -12.913900375366211 -1.7336904314254216 5.46792454293414 14.729735047922079 -0.3040180705287463 0.44304656177889035 0.35828681784122995 0.11515942590326067 0.357938345232389 0.45287349118143894 0.13278827159499706 0.05465605312412647 0.2297208789418279 -0.1775969441373848 -0.1469287109669246 -0.41439121955173674 -0.10775336254792589 -0.11130284646223676
2M09255549-0818210 141.481224 -8.305836 348.7070007324219 -1.5056100288196732 5.386474991139583 16.478748991974086 -0.4360921082260607 0.31105525773892606 0.3321498255307276 0.08659475297780905 0.40861773123664946 0.4089272422659651 0.16437861195356396 -0.05300584633180372 -0.3743150562925195 -0.18536353238496384 -0.20198224861186076 -0.3592593793746768 -0.21315721446859048 -0.10890112101918725
2M09284190-0707564 142.17461 -7.132344 341.39801025390625 -1.5796216318973315 3.912091512309669 13.591342088312524 -0.20345623887003406 0.17368400979918786 0.312762699176069 0.15170771702391406 0.3574288640261729 0.4607432998868288 0.18632261916014214 0.03528827197278539 0.05203883192310621 -0.2218834502138025 0.036908531722602556 -0.33997709431653544 -0.12274712296572754 -0.08878207281295114
2M09331345-0643282 143.306064 -6.724511 161.54200744628906 -1.5761352613714206 8.934169341331275 21.9836828015045 -0.389299997854744 0.28880756163181753 0.283616061670785 0.002775859118509638 0.34470867168085184 0.4552376615961524 0.16483130910927324 -0.09330194105340417 -0.030326045612048214 -0.18536892361815305 -0.0949399756442939 0.05640312855632579 -0.17344070601693917 -0.11311848250178724
2M10121505+0250334 153.062738 2.842625 71.2042007446289 -1.5505592000505812 4.027665207757137 11.686229408657248 -0.3946130575046749 0.329197679679593 0.292764628936347 0.06374487696216002 0.3777226222438863 0.40258863725225047 0.20009085304634122 -0.00814272413165762 -0.1728153503202552 -0.18490893637524475 0.13842306517689984 -0.19016297867006915 -0.1451332989197911 -0.1304598439368554
2M10322843+3458392 158.118464 34.977558 -26.24169921875 -1.8064992047429183 4.73177649964216 12.040227209978761 0.13660820721805567 0.44971292204422864 0.3657159512941568 0.22524143182995426 0.31070708693721283 0.461846027429309 0.17984205414217258 0.20549222415633195 -0.0032654122148223497 -0.23678136283974416 -0.10110302158229767 -0.3694665458437272 -0.17046355425741933 0.010071346534715753
2M10331492+2936548 158.312203 29.615231 88.09210205078125 -1.6375634892876278 3.4736348884093458 10.811228688132145 0.43421790899478774 0.6545087529771689 0.3278510385344475 0.07589834598474421 0.30518679370583346 0.4230971031486621 0.24716599874605816 -0.0458536254601456 -0.10550088508200206 -0.20663099501385918 -0.004316249065743127 -0.038526742624519494 -0.1870061176260256 0.024386127543749136
2M10334995+3022196 158.458163 30.372124 -112.1510009765625 -1.814220710465182 27.85734865558808 36.927465578529194 -0.19132776138913865 0.3843583870161491 0.37609065103291983 0.18075592953850572 0.3776100620995133 0.5025348883610514 0.14376906682519364 0.05423736828192971 0.6109308708691659 -0.18929405951015532 -0.02232298102675423 -0.5093376236915166 -0.06016839410138708 -0.1059071191946439
2M10360156+3445298 159.006524 34.758286 139.0189971923828 -1.789196809778723 14.399430601577246 21.906612414175733 -0.29801971591550225 0.35266856244561673 0.31723698756881036 0.11417226834606042 0.3401137340308371 0.4774768701200449 0.19867235848168519 0.026361864083697784 0.10001133776106008 -0.2287396686931109 0.015167063786012625 -0.33926055841081326 -0.09790707389559405 -0.0939171493711577
2M10383062+2935110 159.627585 29.586403 52.989200592041016 -1.5364298946627521 6.015505813374347 12.996403829791642 -0.28277476153347525 0.3520294399799073 0.27812568765432766 0.0688623810547957 0.2511341270463643 0.3624482415135837 0.005691417176674207 -0.08178383280051293 0.10858139919937249 -0.16809817478015487 -0.5395071238272122 -0.36396119551828043 -0.1008902712754014 -0.1921623993552739
2M10383527+2851447 159.646976 28.862423 -73.01709747314453 -1.7621856104118243 3.4764066759871977 10.716795609672541 0.11375651633054007 0.25081583360684734 0.36990210405714596 0.30858217656998543 0.36115969843949425 0.5525658640088789 0.15808059556328247 0.15747687811833444 0.5919121489935408 -0.13549325703125836 0.03426150717615051 -0.3236753013707365 -0.050054286579397145 -0.02136163944590619
2M10385117+2926000 159.713221 29.433352 48.325599670410156 -1.5170287548724428 4.2631224491284545 11.390817746672422 -0.1821329666237097 0.3608675690886598 0.34482482722298635 0.1671726652836416 0.3292189368926737 0.4499555290978936 0.044808414538203944 0.07633116875963353 0.1597270926139709 -0.12485109090146906 -0.34483051299584333 -0.45847132703903704 -0.10563406405669284 -0.1314219102187404
2M10385397-1055479 159.724901 -10.929992 250.0749969482422 -1.674345994548221 3.6168868600575714 10.710716969874358 -0.2664127657118447 0.24119666478204294 0.31383594618644883 0.13004794759811866 0.3557504449387143 0.4422217256426364 0.1949636496497491 0.035182925251532104 -0.022450170137686687 -0.22559500007238076 0.026320291639115645 -0.32412143960118467 -0.11674889714189751 -0.08633125910326478
